Autor/a (atribución tradicional),Atribución actual,Obra en español,Obra,Compañía,País,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena / Diseño gráfico / Fotografía,Vestuario / Maquillaje,Movimiento,Producción,Lugar de estreno
Miguel de Cervantes,,Don Quijote... Acercándonos a su locura,Don Quijote... Acercándonos a su locura,Ksec Act,Japón,Yoichi Tajiri,2004,"Festival Internacional de Teatro Clásico de Almagro, 12-13 de julio de 2005","El carácter propio de una obra en escena proviene del estilo y el contenido que un grupo de teatro emplea en la representacion de la obra. Por tanto, el estilo y el contenido expresados en la representación no dependen de la obra escrita sino de la actividad creativa del grupo. 
Durante estos diez años hemos intentado conseguir nuestros propios medios de expresión. Mediante nuestros ensayos con el lenguaje, las obras escritas, la actuación, hemos insistido en dar una forma apropiada tanto a lo perdido como al rechazo de la realidad y la negación de la actualidad. Respecto a las palabras, nos importan su sonido y la imagen producida por este sonido. 
Hemos querido representar el teatro español lleno de la realidad y de la ilusión con los gestos netamente japoneses, tales como levantarse, sentarse, moverse. Siempre hemos dado mayor importancia a la creatividad nuestra que a la idea original que dio el propio autor a la obra por él escrita. Porque creemos que la teatralidad consiste en la casualidad producida por la acumulacion de muchas ideas espontáneas. ",https://www.ksec-act.com/single-post/ドン-キホーテ-その狂気について-2 ,Kei Jiinguji,Toshibiro Yoshito,"Senko Hida, Tadayoshi Sakakibara, Kenji Yoshida, Tomoko Mizutani, Eriko Shimizu, Yoshiteru Yamada, Yoshitomo Kani, Fumitoshi Ando, Eriko Shimizu, Tomoko Hirai, Chiaki Kita, Daisuke Higuchi",Tadamitsu Kondoi,"Tooru Tanaka, Hirofumi Suzuki",,Hiromi Tsuboi,,"Mikio Miyagawa, Kazue Takahashi",Nagoya City Nishi Bunka Small Theater (Japón)
Miguel de Cervantes,,Numancia,Numancia,Ksec Act,Japón,Yoichi Tajiri,05/2007,"Festival Internacional de Teatro Clásico de Almagro, 2-3 de julio de 2007","Las ruinas de Numancia están a 7 km al noreste de Soria. En una desolada colina un poco elevada aparecen como serpenteando lo que fueran cimientos de edificios. Paseando por entre las ruinas de las casas, parece que aún se oyen los gritos de guerra, la desesperanza y los alaridos lastimeros de los numantinos sitiados por el ejército romano. 
Entre los años 143 t 134 a. C. Roma intentó, en repetidas ocasiones, conquistar Numancia sin conseguirlo. En el año 134 el general Escipión, que había destruido Cartago (146 a.C.), sometió a sitio la ciudad durante 8 meses exigiendo la rendición sin daramamiento de sangre. Pero los numantinos, tal como aparece en esta obra, consumidos por el hambre, prendieron fuego a la ciudad y quitándose la vida entregaron una ciudad despoblada.
Cervantes escribió esta obra cuando estaba en la treintena y comenzaba su actividad en el mundo teatral de Madrid. Por ser una obra primeriza, el estilo no está logrado, la vehemencia del autor aparece sin cesar y, para ser sincero, me ha resultado muy difícil traducirla. Sin embargo, en el capítulo 48 del Quijote, Cervantes presenta Numancia como un modelo de obra dramática. No creo en absoluto que los espectádores de la época vieran esta obra, de largos y rígidos parlamentos, con interés, pero considerada como una tragedia que tiene por tema una situación límite de la existencia humana, a saber la crueldad del destino que no deja otra opción que la muerte, resulta bastante interesante.
En 1937 se representó esta obra en el Madrid sitiado por la tropas franquistas. Seguramente desde el escenario se quería enviar el siguiente mensaje político: ""Rendición a Franco o libertad""; pero en cuanto a autor de los guiones de la compañía Kasec Act, no tengo la menor intención de alentar ningún ""patriotismo"" simplista del tipo ""¿Eres capaz de morir por la persona que amas?"" Me gustaría hacer reflexionar sobre la siguiente pregunta: ¿Por qué la humanidad todavía repite la tragedia de ""tener que morir por las personas amadas?"", y que pensáramos que esta tragedia es la nuestra, la de nosotros que estamos al borde de una crisis a escala global. ",https://www.ksec-act.com/single-post/ドン-キホーテ-その狂気について-2,Kei Jiinguji,,"Tadayoshi Sakakibara, Masaya Nagano, Yoshiteru Yamada, Yoshitomo Kani, Daisuke Higuchi, Senko Hida, Eriko Shimizu, Mayuko Nagano, Chiaki Kita, Anna Mori",Toshihiro Yoshito,Mitsuhiro Nakagawa,,,,Toshiyuki Futamura,Aichi Prefectural Art Theater
Miguel de Cervantes,,Don Quijote de La Mancha,Don Quijote de La Mancha,Compañia Nacional de Teatro de China,China,Dong Yansheng,,"Festival Internacional de Teatro Clásico de Almagro, 23-24 de julio de 2011","La Compañía Nacional China de Teatro es un grupo nacional artístico y escénico de la República Popular de China que fue creado el 25 de diciembre de 2001 sobre la base del Teatro Artístico Joven de China y de la Compañía Central de Teatro Experimental.
La compañía congrega a un buen número de destacados artistas del teatro y la escena así como del cine y la televisión. Es una base heredera de la tradición, que se esfuerza por  innovar, rica en exploraciones, que busca constantemente elevar su nivel y crear excelentes piezas teatrales.
Tiene como misión la creación y escenificación de destacadas obras teatrales, ya chinas ya extranjeras, de alta calidad y nivel, persiguiendo sin cesar el clasicismo y la experimentación de las artes escénicas para mostrar al público el resultado de la cultural teatral avanzada tanto del mundo como de la nación.
Bajo el establecimiento y perfeccionamiento de un conjunto de mecanismos de operación artística con un gran contenido de cientificidad y creatividad de la Compañía Nacional China de Teatro, ésta se dedica a explorar nuevas formas y ámbitos de desarrollo de las artes escénicas y se esfuerza por proporcionar a los artistas de talento un escenario de creación abierta y haciendo todo lo posible por generar nuevos artistas, nuevos teatros, nuevas obras.
El director actual de la compañía es Zhou Zhiqiang; el secretario del comité del Partido Comunista en la compañía y subdirector es Yan Fengqi; los subdirectores son Wang Xiaoying, Cha Mingzhe y Shi Lifen.",,Meng Jinghui,Zhang Wu,"Guo Tao, Liu Xiaoye, Han Qing, Zhang Yicheng, Zhao Xiaosu Cheng Junnian, Li Zhihao, Chen Chao, Kong Yan, Liu Lu Yin Xue Hao Wei, Guo Enlong, Han Pengyi, Liu Yang, Mo Xinle",Wang Qi,Yan Guihe,Wang Zhigang,Liu Dan,,Compañia Nacional de Teatro de China,
Miguel de Cervantes,,Quijote; Don Quijote,Quijote,Teatro de la Juventud de San Petersburgo,Rusia,Mijail Bulgakov,2010,"Festival Internacional de Teatro Clásico de Almagro, 24-25 de julio de 2009"," Bulgakov compuso esta versión escénica de la famosa novela cervantina en 1938 para el Teatro de Vachtangov. Durante la vida del escritor la obra no fue ni representada, ni publicada: no lo había permitido la censura. Sólo después de la muerte de Bulgakov su obra vió la escena, y salió de la estampa nada menos que en 1962. El drama Don Quijote se considera como el legado de Mijail Bulgakov a la posteridad; es uno de los episodios más importantes en la historia teatral del héroe cervantino. Pero, a pesar de todo, el drama pocas veces fue llevado a la escena. Parece que el espectáculo del Teatro de la Juventud del Fontanka sea en el día de hoy la única representación de la obra de Bulgakov en Rusia.
El protagonista de la pieza es un solitario, un caballero andante, un hombre sin sosiego, una personalidad singular, que no puede encontrar en ninguna parte ni comprensión, ni compasión. La gente toma los trabajos caballerescos de Don Quijote por vagabundeos, su valor por desatino, su generoso desinterés por locura. El director del espectáculo Simeón Spivak está firme en su idea de que Don Quijote sea una de las primeras historias sobre el así llamado “hombre pequeño” y además considera que nuestro tiempo no es propicio para la interpretación heróica y romántica de la novela.
En el papel de Don Quijote los espectadores verán a Andrey Shimko, quien hace muy poco tiempo ha creado la imágen de Trigorin en La Gaviota de Anton Chekhov. En este espectáculo el artista representa a un estrafalario personaje Don Quijano, el cual está huyendo de las trivias de la vida cotidiana al mundo multicolor, viváceo de la fantasia, donde hay lugar para milagros, encantamientos, gigantes. Su Don Quijote es un niño, echado al mundo de los adultos. El decorador Simeón Pastukh vistió toda la escena en pieles blancas como la nieve. En esta imagen ""blanca y tierna"" está reflejada la concepción que tiene del mundo el mismo director, visto que en todos sus espectáculos “lo mejor” siempre entra en competición con “lo bueno”.
El papel del escudero leal de Don Quijote lo desempeña Roman Nechaev. Sancho, astuto y práctico, quien no confía en nada salvo en su buen sentido aldeano, es otra creación importante del artista después de Yago (Otelo de Shakespeare) y Soliony (Las tres hermanas de Chekhov). Roman Nechaev nos presenta la imagen maravillosa de un perezoso soñador. Bueno como el pan y fiel servidor: así es el acompañante de Don Quijote, que suscita toda una escala de emociones, desde la sonrisa burlona hasta la compasión.",,Simeón Spivak,Simeón Pastukh,"Andrey Shimko, Nadezhda Riazantzeva, Tatiana Grigorieva, Roman Nechaev, Evgeniy Klubov, Aleksey Oding, Natalia Pallin, Leonid Osokin, Marina Ordina, Vladimir Maslakob, Aleksandr Andreev, Vasiliy Guzov, Sergey Gavlich, Ivan Martynov, Piotr Zhuravliov, Alecsandra Brazhnikova, Alecsandr Kulikob, Stanislav Mujin, Svetlana Strogova, Ekaterina Dronova",,"Ivan Blagodior, Vladimir Bychkovskiy",,,"Sergei Gritzai, Igor Kachaev",Teatro de la Juventud de San Petersburgo,Teatro de la Juventud de San Petersburgo
Miguel de Cervantes,,Quijote; Don Quijote,Kijote Kathakali,Margi,India,"Ignacio García, Dr. P. Venugopalan, S. Sasikumar",07/2016,"Festival Internacional de Teatro Clásico de Almagro, 22-23 de julio de 2016","Conocido es que desde la antigüedad viajan historias y leyendas. De Oriente nos ha llegado un sinfín, pero a las costas de Malabar también llegaron personajes y aventuras de otras tierras. Si en esas costas antes se conocía esta Triste Figura ahora forma parte de su legado. Este encuentro artístico, este viaje de Don Quijote a la India es ya una “apropiación” de nuestra historia más universal y una simbiosis entre dos tradiciones o legados. Quién le diría a su autor que Alonso Quijano encontraría en palabras de salvación mística su morir cuerdo.
En un lugar de Kerala, cuyo nombre en mitos y leyendas resuena, ha mucho que surgió una forma teatral llamada Kathakali: historias (katha) actuadas y danzadas en una forma dramática (Attakkatha). Se crearon por dramaturgos y poetas desde el s. XVII para transmitir la cosmovisión de dioses, demonios y héroes recogida en las grandes epopeyas del Ramayana y Mahabharata. Sus códigos estéticos se remontan al tratado Natya Sastra (s. II a.C.). Los actores y maestros han conseguido conservar fielmente cada gesto y signo, posibilitando un fascinante viaje en el tiempo con cada representación.
El mismo viaje, curiosamente a la misma época, lo hacemos cada vez que leemos El Quijote y dejamos que Cervantes nos transporte al paisaje manchego de los albores del s. XVII. De ahí parte esta propuesta, de poner estas dos tradiciones a dialogar, discutir y construir juntas un espectáculo, hecho para el público de hoy, con el tesoro de ambos patrimonios.



",,Ignacio García,,"Nelliyodu Vasudevan Namboodiri, Margi Vijayan, Kalamandalam Pradeepu, Margi Suresh, Kalamandalam Balakrishnam, Kalamandalam Parthasarathy, Kalamamdalam Sudeep, Kalamandalam Balasubramaniam, Margi Raveendram Pillai, Payhiyoor Sankaran Kutty, Kalamandalam Visnu, Kalamandalam Krishna Das, Margi Retnakaram",Juanjo Llorens,,Juan Carlos Quindós de la Fuente,"Margi Raveendram Pillai, Margi Sreekumar, Pallippuram Unnikrishnam","Dr. P. Venugopalan, Mónica de la Fuente",Margi,Espacio Miguel Narros de Almagro
Calderón de la Barca,,El gran teatro del mundo,Das grobe Welttheater,Welttheatergesellschaft Einsiedeln,Suiza,Thomas Hürlimann,2000,,"El maestro abre el juego y crea el mundo como escenario. A una pregunta del mundo, el maestro le explica el significado de la creación: ""Para alabar mi poder y gloria"" (p. 6). La gente puede actuar en el escenario, el maestro distribuye los papeles y dirige. El mundo pone dos puertas que se describen como nacimiento y muerte.

Ahora se distribuyen los papeles. El maestro piensa que si le preguntaría a la gente, todo el mundo quería gobernar, por lo que distribuye los roles a su propio senteo. El rico se alegra de su riqueza, el mendiquero se ofende por recibir un lote mucho más agotador a pesar de la misma alma. El maestro lo consuela, en la muerte ambos serían iguales de nuevo. El nombre de la obra es «Tue recht - Gott über euch» (p. 18). El mundo recoge a la gente y la equipa: el rey recibe una corona, la belleza recibe flores, el rico el oro y la plata, el sabio una túnica, el campesino una pala, el niño nada, y al mendiga se le quitan la ropa. En el escenario superior, el maestro mira la obra, en el escenario inferior comienza la actuación.

La ley de la gracia presenta el lema principal para todas las personas; además del ya introducido ""Haz la razón - Dios sobre ti"", también se añade la caridad. La belleza y el modo aparecen primero. La belleza quiere atraer al sabio, pero prefiere retirarse para alabar a Dios. A continuación, aparecen los ricos y el campesino, que quiere hacerse rico y pronuncia un discurso socialmente crítico de que los campesinos siempre tienen que pagar todo. Tanto el mendigar como el rico escuchan la ley: mientras consuela al mendigar, el rico la encuentra aburrida. El mendigo pide limosna, pero el rico y la bella no le dan nada, el rey se refiere a su ministro, el compatriota piensa que debería trabajar mejor, solo el sabio le da un trozo de pan. El rey también quiere ser sabio y hermoso al mismo tiempo, pero una voz lo llama. La belleza se jacta de su reino eterno, pero también es llamada inmediatamente. A continuación, el granjero tiene que irse. El rico y el mendico hablan; mientras el rico se va bien, el mendigo está desesperado. La voz llama a ambos: el mendigo se alegra, al rico no le gusta en absoluto. Por último, el sabio se queda atrás, pero él también debe morir, si la iglesia también permanece.

Los muertos son recibidos por el mundo, donde deben entregar sus posesiones seculanas, ya que todo fue prestado. El rey devuelve su púrpura, la belleza ha dejado sus encantos en la tumba, el hombre del campo entrega su pala, solo el sabio puede conservar sus buenas obras; el mundo no puede quitárselas. El maestro invita al mendigo y al sabio a cenar con él. Envía al rey, a la belleza y al hombre de campo al purgatorio, pero a los ricos al infierno. El rico y el mendiguido han cambiado su papel: el mendiguido ahora está por encima de los ricos.",,Volker Hesse,,,,,,,,Welttheatergesellschaft Einsiedeln,Klosterplatz de Einsiedeln (Suiza)
Calderón de la Barca,,La hija del aire,Die Tochter der Luft,Burgtheater,Austria,Hans Magnus Enzensberger,2000,,,,Frank Castorf,,"Corinna Harfouch, Gerd Böckmann, Johannes Terne, Branko Samarovski, Heinz Frölich",,,,,,,Burgtheater (Viena)
Calderón de la Barca,,La vida es sueño,Das Leben ein Traum Kaspars,Kaspar-Hauser-Festspiele,Alemania,,4/08/2000,,,,,,,,,,,,,Kaspar-Hauser-Festspiele (Ansbach)
Calderón de la Barca,,La vida es sueño,Das Leben ein Traum,Schauspiel Frankfurt,Alemania,,2001,,,,Michael Pehlke,,,,,,,,,
Calderón de la Barca,,,,,,,,,,,,,,,,,,,,(Frankfurt)
Calderón de la Barca,,El gran teatro del mundo,Das grobe Welttheater,"Mecklenburgisches Staatstheater Schwerin, Staatstheater Heidelberg, Teatro Nacional de Luxemburgo","Alemania
Luxemburgo",Volker Hesse,2003,,,,Volker Hesse,,,,,,,,"Mecklenburgisches Staatstheater Schwerin, Staatstheater Heidelberg, Teatro Nacional de Luxemburgo",
Calderón de la Barca,,La vida es sueño,Das Leben ein Traum,,Alemania,"Stefanie Carp, Koen Tachelet",25/08/2006,,,,Johan Simons,"Luc Goedertier
Freddy Schoonackers","Aus Greidanus Jr., Frank Focketyn, Sanne den Hartogh, Christoph Homberger, Wim Opbrouck, Betty Schuurman, Steven Van Watermeulen, Katja Herbers, Servé Hermans, Kristof Van Boven",Mark Van Denesse,,,Greta Goiris,,"Ruhrtriennale, NTGent",Maschinenhalle Zeche Zweckel (Gladbeck)
Calderón de la Barca,,La dama duende,Dame Kobold,Staatstheater Würzburg,Alemania,Volker Hesse,2006,,,,Volker Hesse,,,,,,,,Staatstheater Würzburg,Staatstheater (Würzburg)
Calderón de la Barca,,La hija del aire,Die Tochter der Luft,Schauspiel Leipzig,Alemania,Hans Magnus Enzensberger,1/02/2008,,,,Kontanze Lauterbach,Kathrin Frosch,"Eva Müller, Dieter JaBlauk, Matthias Hummitzsch, Alexsandar Radenkovic, Gilbert Mieroph, Jatharina Ley, Ellen Hellwig, Tobias J. Lehmann, Silvia Weiskopf, Anne Hoffmann, Torben Kessler, Stefan Kaminsky, Thomas Dehler ",,Achim Gieseler,Kai Schadeberg,Karen Simon,,Schauspiel Lepzig,Schauspiel Lepzig (Leipzig)
Calderón de la Barca,,La dama duende,Dame Kobold,,,,,,,,,,,,,,,,,
Calderón de la Barca,,La vida es sueño,Life is a Dream,Magis Theatre Company,Estados Unidos,George Drance,1/06/2000,,,,George Drance,,,,,,,,Magis Theatre Company,Catedral de San Juan el Divino (Nueva York)
Calderón de la Barca,,Sueño; La vida es sueño,Sueño,Teatro Hispánico,Estados Unidos,José Carrasquillo,2000,,,,José Carrasquillo,,,,,,,,Teatro Hispánico,Teatro Hispánico (Nueva York)
Calderón de la Barca,,La dama duende,La dama duende,Bilingual Foundation of the Arts (BFA),Estados Unidos,Agustín Cóppola,2000,,,,Agustín Cóppola,,,,,,,,Bilingual Foundation of the Arts (BFA),Bilingual Foundation of the Arts (Los Ángeles)
Calderón de la Barca,,La vida es sueño,Life is a Dream,Blunt Theater Company,Estados Unidos,,2001,,,,,,,,,,,,Blunt Theater Company,(Nueva York)
Calderón de la Barca,,La vida es sueño,Life is a Dream,Angus Bowmer Theatre,Estados Unidos,Laird Williamson,1/02/2001,,,,Laird Williamson,Robert Blackman,Kalene Parker,Robert Peterson,,,Deborah M. Dryden,,Angus Bowmer Theatre,"Oregon Shakespeare Festival (Ashland, Oregon)"
Calderón de la Barca,,La vida es sueño,Life is Dream,A Noise Within,Estados Unidos,Geoff Elliott,04/2001,,,,Geoff Elliott,,"Geoff Eliott, Mark Bramhall, Robertson Dean, Jill Hill, William Dennis Hunt, Stephen Rockwell, Abby Craden",,,,,,A Noise Within,"A Noise Within (Glendale, California)"
Calderón de la Barca,,La dama duede,The Phantom Lady,The Pearl Thteare Company,Estados Unidos,Edwin Honig,10/01/2002,,,,René Buch,Sarah Lambert,"Ray Virta, Dominic Cuskern, Celecte Ciulla, Robin Leslie Brown, Jason Manuel Olazábal, Dan Daily, Rachel Botchan, Aaron Ganz, Emily Gray",Stephen Petrilli,Chris Bailey,,Liz Covey,,The Pearl Theatre Company,The Pearl Theatre (Nueva York)
Calderón de la Barca,,La vida es sueño,Life's a Dream,Aisling Arts,Estados Unidos,Wendy Remington,1/11/2003,,,,"Wendy Remington, Bryn Manion",,Bryn Manion,,,,,,Aisling Arts,"The Undercroft, Trinity Lutheran Church (Astoria, Queens, Nueva York)"
Calderón de la Barca,,La vida es sueño,A Life is Dream,South Coast Repertory,Estados Unidos,Nilo Cruz,9/02/2007,,,,Kate Whoriskey,Walt Spangler,"Daniel Breaker, John de Lancie, Lucia Brawley, Richard Doyle, Jason Manuel Olazábal, Jennifer Chu, Matt D'Amico, Luis Vega, Michael Irish, Ary Katz, Ceilidh Lamont, Lovelle Liquigan, Tara Louise, Andrew Scott",Scott Zielinski,"Rob Milburn, Michael Bodeen",,Ilona Somogyi,Warren Adams,South Coast Repertory,"Segerstrom Stage, Costa Mesa (California)"
Calderón de la Barca,,La vida es sueño,A Life is Dream,Flux Theatre Ensemble,Estados Unidos,John Clifford,2007,,,,Kelly O'Donnell,Jason Paradine,"Christina Shipp, Joe Medina, Lawrence Merritt, David Crommett, Jake Alexander, Tatiana Gomberg, Scout Durwood, Michael Davis, Katie Hartke, Isaiah Tanenbaum",Joe Mathers,,,Hannah Rose Peck,,Flux Theatre Ensemble,Access Theatre (Nueva York)
Calderón de la Barca,,La vida es sueño,Life is a dream,"Puy Navarro, Francisco Reyes, Amnistía Internacional USA",Estados Unidos,Gerry Bamman,10/12/2007,"Festival Internacional de Teatro Clásico de Almagro, 19 de julio de 2008","El príncipe Segismundo vive preso en un castillo sin tratar con ningún ser humano excepto con Clotaldo, su ayo. A tal situación le ha llevado su padre, el rey Basilio, para evitar que se cumplieran los augurios que pronosticaban que el padre sería humillado por el hijo. Finalmente, el rey decide probar a Segismundo y lo lleva a la corte tras haberle suministrado un narcótico. Al despertar, el príncipe se encuentra en un suntuoso palacio.
Esta producción de La Vida es Sueño, estrenada originalmente en el teatro The Culture Project de Nueva York en marzo de 2007, tuvo como punto de partida e inspiración las conferencias sobre Derechos Humanos y transiciones democráticas que don Baltasar Garzón moderó en la Universidad de Nueva York en 2005/06. El montaje mezcla la sencillez de su puesta en escena con el poder y vigencia actual de las palabras de
Calderón.
El texto ha sido editado para agilizarlo y adaptarlo al público de hoy día, y la localización de los hechos se ha modernizado para poder encuadrarla dentro de los conflictos y violaciones de Derechos Humanos actuales. La compañía se compone de artistas y diseñadores de todas partes del mundo, tanto de Estados Unidos como de España, Puerto Rico, México, Argentina e incluso Nueva Zelanda. La obra fue presentada en Naciones Unidas el 10 de diciembre de 2007 con motivo del Día Internacional de los Derechos Humanos, y su participación en el Festival de Almagro supone su estreno en España.",,Cecil Mackinnon,,"Gerry Bamman, James Gale, Ephraim López, Julio Navarro, Puy Navarro, Vayu O'Donnell, Francisco Reyes, Patricio Witis ",Justin Towsend,"Ed Ware, Aural Fixation",Xavi Menós,"Moza Saracho, Courtney McClain",Barbara Allen,"Puy Navarro, Francisco Reyes, Amnistía Internacional USA",
Calderón de la Barca,,La vida es sueño,La vida es sueño,Teatro Círculo,Estados Unidos,Virtudes Serrano,26/11/2021,"Festival Internacional de Teatro Clásico de Almagro, 5-6 de julio de 2022","Un clásico para un público moderno. Basándose en la idea del sueño dada en el título de la obra, esta producción invita a los espectadores a entrar en un espacio amorfo donde, como en los sueños, diferentes realidades convergen, las fronteras se difuminan y donde el pasado y el futuro colapsan en el único presente. Los actores son presentados como seres neutros, definidos por las acciones dadas en la palabra. Así pues, los actores cambian roles de escena a escena (y aún dentro de una misma escena) creando la confusión tan típica del mundo onírico y del Barroco. El hilo conector y absoluto protagonista de este montaje es la palabra.",https://teatrocirculo.org/la-vida-es-sueno/,Mariano de Paco,Israel Franco Müller,"Juan Luis Acevedo, Daniel Alonso, María Fontanals, Fernando Gazzaniga, Catherine Núñez, Jerry Soto, Eva Cristina Vásquez","Israel Franco Müller, Camilia M. Pérez",,Michael Palma,"Israel Franco Müller, Noelia Montero",,"José Cheo Oliveras, Teatro Círculo",Teatro Círculo de Nueva York
Calderón de la Barca,,La vida es sueño,La vie est un songe,Compagnie Faux Magnifico,Francia,Tony Cafiero,28/09/2001,,,,Tony Cafiero,Jean-Pierre Morel-Lab,"Jean-Marc Catella, Gilles Buonomol, Henri Bornstein, Magali Mary, Marc Pastor, Laurent Dupuy, Muriel Benazeraf",Jean-Louis Gagniarre,Patrick Gravion,,Marie-Pierre Garbarge,,"Compagnie Faux Magnifico, Le Théâtre, Scène Nationale de Narbonne","Le Théâtre, Scène Nationale de Narbonne (Narbona)"
Calderón de la Barca,,El gran teatro del mundo. Pleito matrimonial del cuerpo y el alma,Le Grand Théâtre du monde. Le Procès en séparation de l'Âme et du Corps,Comédie Française,Francia,Florence Delay,10/03/2004,,,,Christian Schiaretti,Reanud de Fontanarosa,"Gérard Giroudon, Claude Mathieu, Christian Blanc, Véronique Vella, Bruno Raffaelli, Clotilde de Bayser, Nicolas Lormeau, Laurent Stocker, Céline Samie, Roland Bertin",Pascal Sautelet,Denis Sanglard,,Thibaut Vancraenenbroeck,,Comédie-Fraçaise,Théâtre du Vieux-Colombier (París)
Calderón de la Barca,,La vida es sueño,La vie est un songe,"Compagnie In Cauda, Théâtre Nationale Toulouse, Espace des arts de Chalon-sur-Saône",Francia,Céline Zins,2004,,,,Guillaume Delaveau,Aurélie Thomas,"Thierry Bosc, Régis Laroche, Jean-Claude Jay, Laurent Poitrenaux, Christèle Tual, Delphine McollSütor, Nicolas Bouchaud",Cyrille Siffer,,,"Aurélie Thomas, Françoise Busolini",,"Compagnie In Cauda, Théâtre Nationale Toulouse, Espace des arts de Chalon-sur-Saône",Théâtre Nanterre-Amandiers (Nanterre)
Calderón de la Barca,,La vida es sueño,La vie est un songe,Théâtre Le Gyptis,Francia,"Arlette Vouyucas, Françoise Châtot",10/05/2005,,,,Françoise Châtot,Michel Giard,"Serge Châtot, Laurent Boulanger, Marc Brun, Jean-Marc Culiersi, Clara Schwartzenberg, Jean-Jérôme Esposito",Jean-Noël Launay,Jean-Pierre Gallet,,Michel Giard,,Théâtre Le Gyptis,Théâtre Le Gyptis (Marsella)
Calderón de la Barca,,La vida es sueño,La vida es sueño,Théâtre de la Tempete,Francia,Celine Zins,13/07/2018,"Festival Internacional de Teatro Clásico de Almagro, 13-14 de julio de 2018","La vieja historia de un joven príncipe desterrado por el padre que desea evitar el fatal
vaticinio de las estrellas es el punto de partida de la obra maestra de Calderón, publicada en la primera parte de sus comedias (1636). Pocas piezas del teatro áureo lograron ensamblar una riqueza de pensamiento tan sugestiva y compleja con una técnica tan depurada en la articulación de la trama y el manejo de la lengua poética.
Pocas obras maestras se muestran tan vigentes hoy día (un hoy especialmente predispuesto a la añoranza barroca) como La vida es sueño. Drama religioso o filosófico que, desde el absoluto seiscentista, urde sus raíces en los mitos orientales, la literalidad de su lección moral es capaz, sin embargo, de traducirse en lectura política (educación de príncipes) y en grito revolucionario. Tras el éxito de La nuit des rois, La vida y la muerte de H. y La Baye, el nuevo director del Théâtre de la Tempête, pone en escena esta obra maestra del teatro barroco español.",,Clément Poirée,Erwn Creff,"John Arnold, Louise Coldefy, Thibaut Corrion, Pierre Duprat, Laurent Ménoret, Morgane Nairaud, Makita Samba, Henri de Vasselot",Kevin Briard,Stephanie Gibert,,Hanna Sjodin,,Théâtre de la Tempete,Antigua Universidad Renacentista de Almagro
Calderón de la Barca,,La dama duende,La dama duende,Teatro Gayumba,Hispanoamérica (República Dominicana),Manuel Chapuseaux,2000,,,,Manuel Chapuseaux,"Nives Santana
Manuel Chapuseaux","Nives Santana, Manuel Chapuseaux",,,,"Nives Santana, Manuel Chapuseaux",,Teatro Gayumba,Casa de Teatro (Santo Domingo)
Calderón de la Barca,,La dama duende,La dama duende,Teatro Gayumba,Hispanoamérica (República Dominicana),Manuel Chapuseaux,2003,,,,Manuel Chapuseaux,,"Nives Santana, Miguel Chapuseaux",,,,"Nives Santana, Manuel Chapuseaux",,Teatro Gayumba,
Calderón de la Barca,,El gran teatro del mundo,El gran teatro del mundo,Teatro Camino,Hispanoamérica (Chile),Héctor Noguera,2001,Festival Internacional de Teatro a Mil,,,Héctor Noguera,,Héctor Noguera,,Jorge Martínez,,,,Teatro Camino,Festival Internacional de Teatro a MIl (Santiago de Chile)
Calderón de la Barca,,La vida es sueño,La vida es sueño,Teatro Camino,Hispanoamérica (Chile),Héctor Noguera,2011,"Festival Internacional de Teatro Clásico de Almagro, 2-4 de julio de 2010","Esta puesta en escena de La vida es sueño de Calderón de la Barca, cuenta con la actuación y adaptación de Héctor Noguera, que lleva décadas abordando esta inmortal y popular obra. El célebre actor entrega una original versión en la que cuenta, comenta, actúa y lee los pasajes más importantes con un espíritu directo, ameno y un especial toque de humor.
La presentación unipersonal de Noguera posee calidez, cercanía y un virtuosismo teatral que entregan, a través de este solo actor, la variedad de personajes de la obra.
Así, el público tiene la oportunidad de contactar con esta gran obra universal en forma comprensible y fiel a su esencia.
El espectáculo ha sido presentado en buena parte de nuestro territorio y en países como Bolivia, Costa Rica, Estados Unidos (Festival de teatro hispano, Universidad de Miami), España (Festival de Cádiz) y Francia. El montaje cuenta con música en vivo a cargo de Cristian Schmidt y una fina iluminación.",https://teatrocamino.cl/web/cartelera/temporada/temporada-2018/hector-noguera-presenta-unipersonal-de-la-vida-es-sueno/,Héctor Noguera,,Héctor Noguera,,Cristian Schmidt,,,,Teatro Camino,
Calderón de la Barca,,La vida es sueño,La vida es sueño,Teatro Contrajuego,Hispanoamérica (Venezuela),Orlando Ochoa,1/05/2001,,,,Orlando Ochoa,,"Pedro de Llano, Diana Díaz, Orlando Ochoa, Luis Domingo González, Luis Márquez, Gregorio Milano, Rebeca Sánchez, Jesús Nunes, Jhonny Rivas",Carolina Puig,Oswaldo Pajares,,Eva Ivanyi,,Teatro Contrajuego,"Sala Anna Julia Rojas, Ateneo de Caracas (Caracas)"
