Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Lope de Vega,,La hermosa fea,2009,Diágoras Producciones,Juan Manuel Casero,15 de junio de 2009,Festival de Teatro Clásico de Cáceres,,,Juan Manuel Casero,del Colectivo,"Daniel Acebes, Pablo Cabrera, Héctor Vesga, Susana Garrote y Raquel Alonso",Álvaro Martín Blanco,,,Vestuario Izquierdo,,Diágoras Producciones,Cáceres,
Lope de Vega,,La Gatomaquia,2009,La Cuarta Producciones,Héctor Manuel Vidal,9 de julio de 2009,"Festival de Teatro Clásico de Almagro
",,,Héctor Manuel Vidal,,"Cecilia Sánchez, Fernando Dianesi, Natalia Bonali y Santiago Sanguinetti",,Fernando Ulivi,,Paula Villalba,,La Cuarta Producciones,Patio de Fúcares de Almagro (Ciudad Real),
Lope de Vega,,La estrella de Sevilla,2009,Compañía Nacional de Teatro Clásico (CNTC),Eduardo Vasco,4 de febrero de 2009,,,,Eduardo Vasco,Carolina González,"Daniel Albadalejo, José Vicente Ramos, José Ramón Iglesias, Francisco Rojas, Mon Ceballos, Jesús Calvo, Arturo Querejeta, Jaime Soler, Muriel Sánchez, Paco Vila, Eva Trancón, Fernando Sendino, Jesús Hierónides, Ángel Ramón Jiménez e Isaac Pulet",Miguel Ángel Camacho,Eduardo Vasco,,Lorenzo Caprile,,Compañía Nacional de Teatro Clásico (CNTC),Teatro Calderón de Valladolid,
Lope de Vega,,Fuenteovejuna,2009,Mefisto Teatro,Liuba Cid,24 de julio de 2009,"Festival de Teatro Clásico de Almagro
",,,Liuba Cid,Liuba Cid,"Claudia López, Fidel Betancourt, Lester Martínez, Luis Mario Alonso, Mauricio Rentería, Modesto Acea, Ramón Ramos, René Otamendi, Roberto Govin, Saskia Guanche, Vladimir Cruz, Yailene Sierra y Yolanda Ruiz",Tony Díaz,Liuba Cid,,Tony Díaz,,"Coproducido con Arte Promociones Artísticas, Ministerio de Cultura y el Consejo Nacional de las Artes Escénicas de Cuba
",Antigua Universidad Renacentista de Almagro (Ciudad Real),
Lope de Vega,,Fuenteovejuna,2009,Rakatá,,,,,,Laurence Boswell,Jeremy Herbert,"Alberto Jiménez, Alejandra Sáenz, Alicia Garau, Ana María Montero, Andrés Rus, Begoña Navarro, Belén Ponce, Carmen Pardo, Celia Pérez, Cristóbal Suárez, Chema Coloma, Daniel Acebes, Elia Muñoz, Emilio Buale, Gerardo Malla, Inge San Juan, Jesús Fuente, Jesús Teyssiere, Juan Pedro Schwartz, Juanma Casero, Juanma Rodríguez, Lidia Otón, Lorena Toré, Lucía Camon, Luis Briones, Luis Manuel Cruz, Magdalena Tomas, Manuel Sánchez, Mario Vedoya, Nacho Mateos, Noelia Rosa, Óscar Zafra, Paco Luque, Pedro Casado, Roberto Mori y Rodrigo Arribas",Adam Silverman,Pascal Gaigne,,Catriona Macphee,,Rakatá,,
Lope de Vega,,Fuenteovejuna,2009,Ksec Act,Yoichi Tajiri,17 de julio de 2009,"Festival de Teatro Clásico de Almagro
",,,Kei Jinguji,Yoshitomo Kani,"Yoko Dambara, Daisuke Kato, Akihiro Yano, Masaya Nagano, Tadayoshi Sakakibara, Kazunori Tokida, Daisuke Higuchi, Kazuya Suzumura, Senko Hida, Tomoko Hirai, Yoshitomo Kani y Kimie Singuji",Shunsuke Yoshito,Mitsuhiro Nakagawa,,Hiromi Tsuboi,,Ksec Act,Teatro Municipal de Almagro (Ciudad Real),
Lope de Vega,,El perro del hortelano,2009,El Ojo del Bululú,Gustavo Funes,14 de abril de 2009,,,,Gustavo Funes,Isabel Alba,"Zaira Montes, Antonio Romero, Saray Casares, Julio Flores, Antonio Ramos y Ainhoa Urizar",José Luis Pineda,Araceli Flores,,,,El Ojo del Bululú,,
Lope de Vega,,El perro del hortelano,2009,Radio Nacional de España,Juan Carlos Maestre,10 de julio de 2009,"Festival de Teatro Clásico de Almagro
",,,Juan Carlos Maestre,,"Belén de Vicente, Clara Sanchis, Gustavo Adolfo Bautista, Javier Lostalé, Javier Segade, José Antonio Ramírez, Juan Suárez, Lourdes Guerras, Miguel Valiente y Vanesa Abad",,,,,,Radio Nacional de España,Corral de Comedias de Almagro (Ciudad Real),
Lope de Vega,,El desdichado por la honra. Cuento trágico,2009,Aula de Teatro de la Universidad de Granada,Rafael Ruiz Álvarez,3 de julio de 2009,,,,Rafael Ruiz Álvarez,"Landim Batista, Rosana Suely de Carvalho","Alberto Roldán Ysasi, Beatriz Martínez Sánchez, Carmelo Aguilera Martín, Carmen Ruiz Cabeza, Dominika Aleksandra Strzyz, Manuel Hidalgo Guerra, Pablo J Martín Rodríguez, Pablo Soriano Rodríguez y Samuel González Rubio.",,,,,,"Coproducido con la SECC, dentro de Las Rutas de La Barraca
",,
Lope de Vega,,El perro del hortelano,2024,Palkettostage,,27 de febrero 2024,Festival BA (Busto Arsizio) Teatro,"La condesa Diana de Belflor, envidiosa de la situación amorosa del sirviente, comienza a mirar a Teodoro bajo una luz diferente, decidiendo así conquistarlo. Sin embargo, de repente abandona cualquier intento de seducción, comportándose como el perro del hortelano, que no come verduras, ni permite que otros las coman. La misma ligereza y profundidad de la obra se puede encontrar en la escenografía, que ofrece ágiles cambios de escena gracias al juego ""Te veo no te veo"" entre cortinas. El resultado es una integración exitosa entre la contemporaneidad y el clasicismo, que acerca el espectáculo al espectador, también gracias a la elección estilística del vestuario.", ,José Luis Matienzo e Irina Sabristova, ,,,,,,,Palkettostage,"Spazioteatro Alberto Caprioli, Italia.", 
Calderón de la Barca,,"A secreto agravio, secreta venganza",2013, El Óbolo Producciones, Lino Ferreira, 15 de junio de 2013, Festival Clásicos en Alcalá, , , Lino Ferreira, Lino Ferreira," Julio Cortázar, Inma Nieto, Carlos Ibarra, Cristina Arranz, Rocío Osuna, Ester Bellver", Pedro Yagüe, , Javier Almela, Nuria Martínez, , El Óbolo Producciones, Corral de Comedias de Alcalá de Henares (Madrid),
Calderón de la Barca,,Otro gran teatro del mundo,2012, Uroc Teatro, Antonio Muñoz de Mesa, 21 de diciembre de 2012, , , , Olga Margallo, Rafael Garrigós," Antonio Muñoz de Mesa, Nines Hernández, Rosa Clara García, Víctor Ullate Roche, Celia Vergara, Víctor Gil, Manuel Mata, Nuria Sánchez, Iván Villanueva", Rafael Catalina," Antonio Muñoz de Mesa, Roberto Bazán", , Rafael Garrigós, Laura Rodríguez Magán,Uróc Teatro;  Compañía Nacional de Teatro Clásico (CNTC)," Teatro Pavón, Madrid",
Calderón de la Barca,,"Lorca, Calderón y los estudiantes de Babel",2012, Escena Erasmus," Anna Marí, Daniel Tormo", 5 de julio de 2012, Festival de Teatro Clásico de Almagro, , , Toni Tordera, Luis Crespo, Actores del Proyecto Teatral Europeo 'Escena Erasmus' de la Universidad de Valencia, , Panchi Vivó, , ,,Escena Erasmus,Plaza de Santo Domingo de Almagro (Ciudad Real),
Calderón de la Barca,,La vida es sueño: el bululú,2012, El Aedo Teatro, Jesús Torres, , , , , El Colectivo, Yasmina Tous, Jesús Torres, Jesús Díaz," Alain Peñasco, Bryan McEire", , Elena Pérez Aranda, , El Aedo Teatro, ,
Calderón de la Barca,,La vida es sueño,2012,CNTC, Juan Mayorga, 5 de julio de 2012, Festival de Teatro Clásico de Almagro, , , Helena Pimenta," Alejandro Andújar, Esmeralda Díaz"," Marta Poveda, David Lorente, Blanca Portillo, Fernando Sansegundo, Rafa Castejón, Pepa Pedroche, Joaquín Notario, Pedro Almagro, Ángel Castilla, Óscar Zafra, Alberto Gómez, Anabel Maurín, Mónica Buiza, Damián Donado, Luis Romero", Juan Gómez Cornejo," Daniel Garay, Mauricio Loseto, Juan Carlos Mulder, Manuel Minguillón, Anna Margules, Daniel Bernaza, Calia Álvarez, Ana Álvarez", ," Alejandro Andújar, Carmen Mancebo", ,Compañía Nacional de Teatro Clásico (CNTC), Hospital de San Juan de Almagro (Ciudad Real),
Calderón de la Barca,,La gran Cenobia,2012, Teatro Galo Real, Gustavo Galindo, 18 de febrero de 2012, Festival La Alternativa, , , Gustavo Galindo, El Colectivo," María García-Álix, Jesús Gago, David Díaz, Nadia Alonso, Gustavo Galindo", Iván Luis, , , , Teatro Galo Real," Nudo Teatro, Madrid",,
Calderón de la Barca,,En la vida todo es verdad y todo mentira,2012,Compañía Nacional de Teatro Clásico (CNTC), Ernesto Caballero, 12 de enero de 2012, , , , Ernesto Caballero, José Luis Raymond," Carmen del Valle, Ramón Barea, Karina Garantivá, José Luis Esteban, Iñaki Rikarte, Jorge Machín, Paco Ochoa, Jorge Basanta, Jesús Barranco, Carles Moreu, Miranda Gas, Sandra Arpa, Diana Bernedo, Marta Aledo, Georgina de Yebra, Borja Luna, Paco Déniz", Paco Ariza, , Vanesa Martínez, Curt Allen Wilmer, Mar Navarro,Compañía Nacional de Teatro Clásico (CNTC)," Teatro Pavón, Madrid",
Calderón de la Barca,,Mañanas de abril y mayo,2023,,Carolina África,13 de abril,Festival de teatro clásico Castilla de Peñíscola,"UN CALDERON EN CINEMASCOPE Un Calderón como si fuese una película de Blake Edwards, ¿por qué no? Colores, luz, sensualidad, alegría, música y juventud brillan en cada elegante verso de este texto. Mujeres que bien podrían ser aquella Ava Gardner que se divertía en el Madrid de finales de los 50, Marcello Mastroianni paseando por San Antonio de la Florida, galanes con el punto tenebroso de Alain Delon en A pleno sol, Peter Sellers buscando la Pantera Rosa, pero también López Vázquez y Gracita Morales planeando un Atraco a las tres… Todo parece hecho a la medida de este Calderón sensual y divertido, en el que una mujer con un sombrerito blanco, al más puro estilo Audrey Hepburn, ubicua y juguetona, es responsable de un enredo monumental que deja al espectador boquiabierto. Para concluir, señalar que hace más de veinte años que Miguel Narros y Andrea D´Odorico montaron, con su particular y elegantísima forma de hacer, Mañanas de abril y mayo. Este espectáculo nace con la necesidad de recordar y homenajear a estos dos maestros que tan importantes y decisivos fueron para quien firma estas líneas",teatrofernangomez.com,Laila Ripoll,"Arturo Martín Burgos
Ayudante de escenografía:
Paula Castellano","Don Juan: Pablo Béjar
Arceo: Guillermo Calero
Don Hipólito: José Ramón Iglesias
Inés: Sandra Landín
Don Pedro: Juan Carlos Pertusa
Doña Ana: Alba Recondo
Doña Lucía: Nieves Soria
Doña Clara: Ana Varela","Diseño de iluminación:
Luis Perdiguero
Ayudante de iluminación:
Lidia Hermar y Juanjo H. Trigueros",,,,,"Producción y equipo técnico:
Fernán Gómez. Centro Cultural de
la Villa
Productor ejecutivo:
Joseba García
Ayudante de producción:
Isabel Romero de León. Una producción del teatro Fernán
Gómez. Centro Cultural de la
Villa en colaboración con Teatro
de Malta y el Festival de Teatro
Clásico Castillo de Peñíscola",Teatro Fernán-Gómez de Madrid,
Calderón de la Barca,,La vida es sueño en sus versos esenciales,2022,Olmedo Clásico. Festival de Teatro Clásico de Olmedo, Emilio de Miguel Martínez,27 de julio,Festival de Teatro Clásico de Olmedo,"El drama de Calderón es para muchos ―ya sean profesionales de la escena o del estudio, o
aficionados― la obra más destacada del teatro del Siglo de Oro. El propio dramaturgo dio
señales claras de ser su preferida. Ninguna otra alcanzó tantas reediciones entre sus
contemporáneos y hasta siglos después. Es un prodigio a la hora de combinar la acción
trepidante de unos personajes a los que mueve el amor, la reivindicación de la libertad y la
dignidad personal o la ambición, con las reflexiones más profundas sobre la vida y el hombre, así
como sobre el desempeño del poder. Unas reflexiones que han generado algunos de los
monólogos y diálogos más famosos del teatro español de todos los tiempos, con versos que han
resonado en muchos otros momentos de la literatura hispánica.
Olmedo Clásico ha querido con este recital revivir las historias de Segismundo y Rosaura y
detenerse en los ""versos esenciales"", que serán revitalizados por la voz y la presencia de cuatro
primerísimas figuras de la interpretación, que en su momento encarnaron los cuatro personajes
principales en montajes inolvidables de la obra clásica que más veces ha subido a los escenarios
actuales: los dirigidos por Fernando Urdiales (Teatro Corsario), Ariel García Valdés (CNTC),
Calixto Bieito (CNTC) y Juan Carlos Pérez Lafuente (Compañía de la Comunidad de Madrid).",,,,"Intérpretes: Nuria Gallardo, Arturo Querejeta, Fernando Cayo, Jesus Peña y Emilio de Miguel Martínez.",,,,,,,"Centro de Artes Escénicas San Pedro de Olmedo, Valladolid",
Calderón de la Barca,,La vida es sueño. Versión musical,2022,Teatro la Calderona,Macarena Baeza y Nano Stern,1 de julio,,,,Dirección: Macarena Baeza de la Fuente. Ayudante de dirección: Camila Gatica,Ricardo Romero,"Intérpretes-cantantes: Manuel Castro, Germán Pinilla, Carolina Munitiz, Xabier Usabiaga, Paula Lizama y Héctor Noguera. Intérpretes-músicos: Nano Stern, Gina Allende, Florencia Bardavid y Cristián Camacho. ",Ricardo Romero,,Ponce & Sánchez,Mario Costa,Ana María Vela,Teatro la Calderona,"Casa Palacio de los Villarreal de Almagro, Ciudad Real",
Calderón de la Barca,,La vida es sueño,2022,Teatro Círculo,Virtudes Serrano,2 de julio,"
Festival Iberoamericano del Siglo de Oro: Clásicos en Alcalá","Publicada en 1636 y considerada una de las obras teatrales más conocidas del teatro
español del período barroco, la pieza relata la historia de Segismundo, príncipe de
Polonia, quien ha sido encarcelado por su padre, el rey Basilio, tras escuchar la terrible
profecía que el príncipe traerá el desastre al reino y la muerte del rey. Basilio libera
brevemente a Segismundo, pero cuando el príncipe estalla de furia, el rey Basilio lo
encarcela de nuevo, persuadiéndolo de que la libertad temporal fue solo un sueño. El
clásico nos desafía y nos cuestiona sobre qué son los sueños y qué es la realidad; qué
es verdad y qué es mentira; cuestionamientos relevantes sobre todo en estos tiempos.
“Durante los últimos años, especialmente después de la pandemia, nuestro concepto
de la realidad se ha empañado. La obra clásica de Calderón bellamente codifica la confusión humana al mismo tiempo que nos ofrece una opción salvadora: el libre
albedrío,” afirma José Cheo Oliveras, Director Artístico Fundador de Teatro Círculo.
La interpretación del Teatro Círculo se inspira en imágenes tradicionales, al tiempo que
ofrece una interpretación contemporánea con un entorno posmoderno. El público entra
en un espacio amorfo donde, como en los sueños, confluyen diferentes realidades, los
límites se difuminan y donde la línea entre el pasado y el futuro colapsan en el
presente. Los personajes, interpretados por un número determinado de actores, se
representan como entidades sin género neutrales que solo se pueden definir mediante
el vestuario estilizado y las máscaras, cuyo tiempo y lugar se definen mediante el
lanzamiento de luces teatrales especiales y efectos de claroscuro. Característica propia
de la época barroca a la que pertenece la obra.",www.teatrocirculo.org,Dirección: Mariano de Paco. Ayudante de dirección: Daniel Alonso y Francisco Rivera.,Israel Franco Müller,"Intérpretes: Juan Luis Acevedo, Daniel Alonso, María Fontanals, Fernando Gazzaniga, Catherine Núñez, Jerry Soto y Eva Cristina Vásquez",Israel Franco Müller,,,Israel Franco Müller,,Teatro Círculo,"Monasterio Cisterciense de San Bernardo de Alcalá de Henares, Madrid",
Calderón de la Barca,,La vida es sueño,2022,"Cheek by Jowl; Compañía Nacional de Teatro Clásico,CNTC; Lazona",Declan Donnellan y Nick Ormerod,14 de octubre,,"Un príncipe encadenado en una montaña. Una joven disfrazada de hombre en busca de
venganza. Revolución, amor, asesinato... pero en La vida es sueño ¿es lo real verdaderamente
real? ¿O es todo un sueño?
El director Declan Donnellan y el diseñador Nick Ormerod imprimen su espíritu característico a
esta obra de Calderón de la Barca, la más famosa del Siglo de Oro español, dando prioridad al
actor, al texto y al espacio. Un muro verde de puertas da la bienvenida al público. Cuando las
luces se apagan, se establece una relación entre el actor y el público. Oímos a Calderón en
nuestro oído, preguntando: ""¿Qué es la vida?” Y su respuesta: ""Una ilusión, una sombra, una
ficción. Porque toda la vida es sueño, y los sueños, sueños son"".
El trabajo de los actores españoles revela una obra que es a la vez urgente, potente y
profundamente contemporánea.",https://www.lazona.eu/,Dirección: Declan Donnellan. Ayudante de dirección: Josete Corral.,Nick Ormerod,"Intérpretes: Ernesto Arias, Rebeca Matellán, David Luque, Manuel Moya, Goizalde Núñez, Alfredo Noval, Irene Serrano, Antonio Prieto y Prince Ezeanyim.",Ganecha Gil,Mariano García,,Nick Ormerod,,Cheek by Jowl;  Compañía Nacional de Teatro Clásico (CNTC); Lazona,Teatro Lope de Vega de Sevilla,
Calderón de la Barca,,La gran Cenobia,2022,"Compañía Nacional de Teatro Clásico,CNTC",Luis Sorolla,13 de enero,,"Y toda lucha de poder se ve acompañada,
tal y como nos muestra Calderón, por
una lucha por el relato; por controlar la
narrativa, por justificar cada cual con su
verdad los actos que se cometen y por
vencer no solo en el campo de batalla,
sino también en el registro que quede
en la Historia.
Siempre el poder y su despiadada obsesión
por controlar y manipular el relato de
los hechos, deformando la realidad y los
acontecimientos hasta límites grotescos
para validar y legitimar sus acciones,
aunque esto signifique la transgresión
de toda ética, de toda humanidad y de
toda justicia. Y así, la historia depende
de quién ha tenido la capacidad, la
potestad y el privilegio de construir y
contar sus relatos, y de hacer prevalecer su verdad.
Calderón nos muestra la pugna entre dos
formas de entender el mundo: una más
amable, justa, empática o ética, y otra
basada en la competición, el enfrentamiento, el dominio, el sometimiento y
en la anulación de todo aquello que no
soy yo. Y es que la guerra, la injusticia,
la traición y el crimen son tan inherentes al ser humano como a la literatura dramática universal de todos los
tiempos, y Calderón interpela con estos
elementos al espectador de hoy de una
manera directa y rotunda, sin necesidad
de concesiones temporales o estilísticas. Habla del ser humano de ayer, de
hoy y de mañana, de sus virtudes y sus
vicios, de su nobleza y de su despiadada
crueldad para con sus iguales.
En este contexto de violencia, poder,
manipulación y muerte, Calderón permite
que afloren los más nobles sentimientos
de amor, lealtad, dignidad y justicia.
Los personajes de La gran Cenobia se
debaten entre sus obsesiones y sus
principios, entre su deber y su ambición
mientras la guerra, la historia y la vida les
pasa por encima.",,DIreccón: David Boceta,Escenografía: Almudena Bautista.,"Intérpretes: Cristina Arias, Mikel Arostegui, Mariano Estudillo, Marta Guerras, Alejandro Pau, Isabel Rodes, José Juan Rodríguez, Víctor Sáinz, Irene Serrano y José Luis Verguizas.",Iluminación: Víctor Longás.,Música y sonido: Antonio de Cos.,Vídeoescena: Álvaro Luna.,Vestuario: Paola de Diego.,,Compañía Nacional de Teatro Clasico Espectaculo patrocinado por loterías y apuestas del Estado,Sala Tirso de Molina del Teatro de la Comedia de Madrid,
Calderón de la Barca,,No hay burlas con el amor,2021,Vida Cantina,Versión: Josete Corral.,11 de junio,Festival Clásicos en Alcalá,,,Dirección escénica: Josete Corral. Ayudantía de dirección: Víctor Sainz., Víctor Longás," Intérpretes: José Ramón Arredondo, Marc Servera, Luis Espacio, Francisco Dávila, Cocó Jiménez, Belén Landaluce, Ana Ruth Resco y José Luis Mosquera.", Víctor Longás,,,Berta Navas.,,Vida Cantina,"Centro Cultural Gilitos de Alcalá de Henares, dentro de la programación del Festival Iberoamericano del Siglo de Oro, Clásicos en Alcalá",
Calderón de la Barca,,"Calderón, ¿enamorado?",2000,Zampanó Teatro,,17 de marzo,Jornadas de siglo de oro de Almería,,,Amaya Curieses y José Maya,,,,,,,,,,
Calderón de la Barca,,La vida es sueño,2023,"Coproducción del Teatro Mayor Julio Mario Santo Domingo, La Chapelle Harmonique y el Festival Iberoamericano del Siglo de Oro de la Comunidad de Madrid: Clásicos en Alcalá.",Ivan Olano Duque ,21 de julio," Festival Clásicos en Alcalá, en junio de 2023","EPÍLOGO El sueño ha colapsado. Estamos en un lugar hecho de fragmentos. Cada personaje está encerrado en sí mismo, en su sueño particular, y Rosaura al fin ejecuta su venganza. Tras un silencio total, el gran canto de Segismundo, “¿Qué es la vida?”, regresa en la voz de todos los personajes.",https://static.teatromayor.org/2023/Programas_de_mano_TM/PM-La_vida_es_sueno.pdf,"Dirección escenica: Alejandro Chacón, Argentina/Colombia","Escenografia:Carolina González, España","Reparto: Segismundo
Andrés Felipe Agudelo
Rosaura
Laura Gómez
Clotaldo
Ernesto Morillo
Clarín
Paola Leguizamón
Basilio
César Gutiérrez
Cortesana 1, soldado 1
Yeraldín León
Cortesana 2, soldado 2
Ana María Ruge
Cortesano 1, soldado 1
Felipe Cevallos
Cortesano 2, soldado 2
Juan David González","Iluminación: Miguel Ángel Camacho, España","Dirección musical: Valentin Tournet, Francia  -Orquesta barroca
La Chapelle Harmonique, Francia - Preparador vocal / Asistente musical
Alejandro Roca
",,"Vestuario:Lorenzo Caprile, España",,Teatro mayor Julio Mario Santo domingo ,Teatro mayor Julio Mario Santo domingo Bogotá - Colombia ,
Calderón de la Barca,,La vida es sueño ,2019,Asociación cutural tropa teatro ,Alonso Mejia ,5-6 y 7 de junio ,"Festival Internacional de Teatro Clásico de Almagro, España, julio 2019","La vida es sueño’, es una obra dramática que relata la vida del joven príncipe Segismundo, que coexiste entre las fronteras del sueño y la realidad a la cual ha sido sometido. Este príncipe que ha permanecido cautivo en una torre desde que nació, por orden de su padre a causa del miedo a que se cumplan los vaticinios del oráculo, pone a prueba la fragilidad de la existencia humana, el libre albedrio y la predestinación, el vaivén del tiempo, las emociones y la verdad.",https://tropateatro.com/repertorio/,Jose alonso Mejia Roman ,,"Gustavo Alonso Vidal Agudelo, Maryury Ruíz López, Johnathan Rodríguez Obando, Diego Julián Zabala Vargas, Robinson Estiben Cardona Rengifo y Bárbara Figueroa Caelles.",,,,,,"Coproducción de mas cultural y Tropa teatro,",Teatro Colón de Bogotá ,
 Atribuido a Tirso de Molina,,El burlador de Sevilla y el convidado de piedra ,2000,Associació d´Investigació i Experimentació Teatral ,,19 de febrero de 2000,,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",,Isaac Benabeu ,Mireia Carles,"Iván Campillo, Laura Sancho, Ramón Garrido, Pau  Gómez, Pau Torelló, Jaume García Castro, Roger Cónsul, Rita Gironés y Xavier Siles",David Lloris,Joana Crespi,,Meritxell Muñoz,,Associació d´Investigació i Experimentació Teatral ,Sala La Cuina de Barcelona ,
Tirso de Molina ,,El condenado por desconfiado ,2001,Zampanó Teatro,,1 de noviembre de 2001,Festival de Otoño,"Don Juan, un joven noble que, debido a su naturaleza desconfiada, termina condenándose a sí mismo. A lo largo de la trama, se enfrenta a situaciones que ponen a prueba su carácter y sus relaciones, lo que lo lleva a reflexionar sobre sus acciones y la importancia de la confianza en las relaciones humanas. La obra combina elementos de comedia y drama, ofreciendo una crítica a la desconfianza y sus efectos destructivos en la vida de las personas.",https://www.teatro.es/estrenos-teatro/el-condenado-por-desconfiado-17969,José Maya,"Pedro Moreno, Javier Roselló y Val Barreto","Pesro Miguel Martónes, Chiki Maya, Amaya Curieses, Antonoi Mayam Ángel Solo, Marta Gutiérrez, José Maya, Borja Sarmiento, José Carrasco y Jerónimo Maya",Marco D´Andrea,,https://www.teatro.es/estrenos-teatro/el-condenado-por-desconfiado-17969/documentos-en-sede/videos,"Pedro Moreno, Javier Roselló y Val Barreto",,Zampanó Teatro,Teatro Pavón de Madrid,
Tirso de Molina ,,El condenado por desconfiado ,2001,Teatro Morboria,,31 de enero de 2001,,"Don Juan, un joven noble que, debido a su naturaleza desconfiada, termina condenándose a sí mismo. A lo largo de la trama, se enfrenta a situaciones que ponen a prueba su carácter y sus relaciones, lo que lo lleva a reflexionar sobre sus acciones y la importancia de la confianza en las relaciones humanas. La obra combina elementos de comedia y drama, ofreciendo una crítica a la desconfianza y sus efectos destructivos en la vida de las personas.",https://www.morboria.com/espectaculos/condenado/,Eva del Palacio,Eva del Palacio y José Luis del Palacio,"Pedro Olivera, Álvaro Aguado, Harold Zúñiga, Ingrid López Wolf, Eva del Palacio, Fernando Aguado, Javier Botella y Trajano del Palacio. ",Guillermo Erice,Pedro Izquierdo,,"Eva del Palacio, Fernando Aguado y Ana del Palacio",Eva del Palacio,Morboria Teatro,Teartro Pradillo de Madrid,
Tirso de Molina ,,Marta la piadosa,2001,Aula de Teatro Andrés de Claramonte,César Oliva,,,"Marta, una joven que, a pesar de las adversidades y las tentaciones que enfrenta, se mantiene firme en sus valores y creencias. La historia explora temas como la fe, la redención y el amor verdadero, mientras Marta navega por un mundo lleno de intrigas y desafíos. A través de su carácter piadoso y su determinación, la protagonista se convierte en un símbolo de virtud y esperanza, mostrando que la bondad puede prevalecer incluso en las circunstancias más difíciles. La obra combina elementos de comedia y drama, reflejando la complejidad de las relaciones humanas y la lucha entre el bien y el mal.",,José Antonio Aliaga,Paco Azorín,Ángel Belmonte,,,,Paco Azorín,,Aula de Teatro Andrés de Claramonte,,
Tirso de Molina ,,Don Gil de las calzas verdes,2002,Galileo Teatro,Fernando Urdiales y Javier Semprún,11 de julio de 2002,,"Don Gil, un joven noble que se disfraza de mujer para conquistar a Doña Inés, una hermosa dama que está prometida a otro hombre. A través de su ingenioso disfraz y su astucia, Don Gil logra infiltrarse en el círculo social de Doña Inés, generando una serie de enredos y malentendidos.

La trama se desarrolla en un ambiente lleno de intrigas amorosas y situaciones cómicas, donde los personajes deben enfrentarse a sus propios deseos y las convenciones sociales de la época. A medida que avanza la historia, se exploran temas como el amor, la identidad y la dualidad de los roles de género. La obra destaca por su aguda crítica social y su habilidad para mezclar humor con reflexiones sobre la naturaleza humana.",https://www.teatro.es/estrenos-teatro/don-gil-de-las-calzas-verdes-22995,Fernando Urdiales,"Jesús Lázaro, Manuel Alonso, Juan Carlos Andrés, Jesús Peña y Teresa Lázaro","Rosa Manzano, Pedro Vergara, Beatriz Alcalde, Jesús Peña, Ruth Rivera, Javier Juárez, Borja Semprún, Luis Miguel García, Óscar García, Teresa Lozano, Julio Lázaro y Manuel Alonso. ",Juan Carlos Andrés,Juan Carlos Martín,,Lupe Estévez,,Teatro Corsario,Teatro Liceo de Salamanca,
Atribuido a Tirso de Molina ,,El burlador de Sevilla ,2003,Compañía Nacional de Teatro Clásico (CNTC),José Hierro,28 de febrero de 2003,,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",https://teatroclasico.mcu.es/2010/08/28/el-burlador-de-sevilla-2003/,Miguel Narros,Andrea D´Odorico,"Carlos Hipólito, Sonia Jávaga, José Luis Martínez, Manuel Mencía, Adolfo Obregón, Juan José Otegui, Rosa Vivas, Cristina Romero, Tomás Repila, Javier Mora, Tino Fernández, Paco Churruca, Elisa Matilla, Fernando Sansegundo, Luis Carlos de La Lombana, Alfonso Begarfa, Antonio Escribano, Luis Callejo, Marta Juániz, Eloísa Martín, Eva Román, Víctor Villate, Miguel Munárriz, Alba Alonso, Joseba Pinela, Israel Elejalde, Román Sánchez Gregory, Rafael Torres, Pepe Frías, Víctor Manuel Dogar, Manuela Paso, Ángel Ramos y Luis Miguel Cobo. ",Juan Gómez Cornejo,José Nieto,,Miguel Narros,,Compañía Nacional de Teatro Clásico (CNTC),Teatro Pavón de Madrid,
